CMDLINE /Users/imjoseangel/.pyenv/versions/3.10.6/Library/Frameworks/Python.framework/Versions/3.10/bin/python3.10 dbtest.py
MEM 0.562500 1665645100.4889
MEM 28.484375 1665645100.5980
MEM 44.703125 1665645100.7070
MEM 49.015625 1665645100.8188
MEM 57.031250 1665645100.9313
MEM 64.406250 1665645101.0406
MEM 81.796875 1665645101.1496
MEM 82.265625 1665645101.2584
MEM 83.921875 1665645101.3673
MEM 89.437500 1665645101.4762
MEM 91.671875 1665645101.5851
MEM 93.171875 1665645101.6939
MEM 99.187500 1665645101.8029
MEM 102.140625 1665645101.9119
MEM 102.203125 1665645102.0209
MEM 102.218750 1665645102.1258
MEM 103.218750 1665645102.2346
MEM 103.406250 1665645102.3434
MEM 112.328125 1665645102.4523
MEM 112.343750 1665645102.5611
MEM 112.359375 1665645102.6699
MEM 112.359375 1665645102.7787
MEM 112.375000 1665645102.8874
MEM 112.375000 1665645102.9962
MEM 112.406250 1665645103.1050
MEM 112.421875 1665645103.2138
MEM 112.421875 1665645103.3225
MEM 112.421875 1665645103.4313
MEM 112.453125 1665645103.5400
MEM 112.453125 1665645103.6488
MEM 112.453125 1665645103.7576
MEM 112.453125 1665645103.8663
MEM 112.468750 1665645103.9751
MEM 112.500000 1665645104.0839
MEM 112.500000 1665645104.1926
MEM 112.500000 1665645104.3014
MEM 112.500000 1665645104.4101
MEM 112.546875 1665645104.5189
MEM 112.546875 1665645104.6277
MEM 112.546875 1665645104.7364
MEM 112.546875 1665645104.8452
MEM 112.578125 1665645104.9539
MEM 112.578125 1665645105.0627
MEM 112.578125 1665645105.1715
MEM 112.578125 1665645105.2802
MEM 112.593750 1665645105.3889
MEM 112.593750 1665645105.4977
MEM 112.593750 1665645105.6064
MEM 112.609375 1665645105.7152
MEM 112.609375 1665645105.8239
MEM 112.640625 1665645105.9327
MEM 112.640625 1665645106.0416
MEM 112.640625 1665645106.1504
MEM 112.640625 1665645106.2591
MEM 112.640625 1665645106.3679
MEM 112.640625 1665645106.4766
MEM 112.671875 1665645106.5854
MEM 112.671875 1665645106.6941
MEM 112.671875 1665645106.8029
MEM 112.671875 1665645106.9116
MEM 112.687500 1665645107.0204
MEM 112.718750 1665645107.1291
MEM 112.718750 1665645107.2379
MEM 112.718750 1665645107.3466
MEM 112.718750 1665645107.4554
MEM 112.718750 1665645107.5641
MEM 112.718750 1665645107.6729
MEM 112.750000 1665645107.7816
MEM 112.750000 1665645107.8904
MEM 112.750000 1665645107.9991
MEM 112.750000 1665645108.1079
MEM 112.765625 1665645108.2166
MEM 112.796875 1665645108.3254
MEM 112.796875 1665645108.4342
MEM 112.796875 1665645108.5429
MEM 112.796875 1665645108.6516
MEM 112.796875 1665645108.7604
MEM 112.796875 1665645108.8692
MEM 112.828125 1665645108.9779
MEM 112.828125 1665645109.0867
MEM 112.828125 1665645109.1954
MEM 112.828125 1665645109.3043
MEM 112.843750 1665645109.4131
MEM 112.890625 1665645109.5218
MEM 112.890625 1665645109.6306
MEM 112.890625 1665645109.7393
MEM 112.890625 1665645109.8481
MEM 112.890625 1665645109.9569
MEM 112.906250 1665645110.0656
MEM 112.906250 1665645110.1744
MEM 112.906250 1665645110.2831
MEM 112.906250 1665645110.3918
MEM 112.906250 1665645110.5006
MEM 112.921875 1665645110.6093
MEM 112.921875 1665645110.7181
MEM 112.921875 1665645110.8271
MEM 112.921875 1665645110.9359
MEM 112.921875 1665645111.0449
MEM 112.921875 1665645111.1539
MEM 112.921875 1665645111.2627
MEM 113.000000 1665645111.3715
MEM 113.015625 1665645111.4803
MEM 113.015625 1665645111.5892
MEM 113.031250 1665645111.6980
MEM 113.062500 1665645111.8068
MEM 113.062500 1665645111.9155
MEM 113.078125 1665645112.0243
MEM 113.078125 1665645112.1330
MEM 113.125000 1665645112.2417
MEM 116.640625 1665645112.3508
MEM 117.062500 1665645112.4601
